id,titre,prix,statut,motif_exclusion,niveau_risque,corrections_appliquees,rang_tri
1,NENHUM,0.00,EXCLU,"prix nul / absent ; hors stock",OK,,
2,"ESPELHO AFRICA 291413",4.80,EXCLU,"prix < 80 €",OK,,
3,"BANDEJA AÇO ESPELHO 40X15X5 DOURADO",31.09,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
4,"BANDEJA METAL ESPELHO 38X18X5 1 MATE DOURADO",14.79,EXCLU,"prix < 80 € ; hors stock",OK,,
5,"BANDEJA DECORAÇÃO METAL ESPELHO 47X35X6 DOURADO",19.90,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
6,"COMODA T 9003-2",199.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
7,"ESPELHO T8553-1",36.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
8,"SALFORD Sofá Cama",499.00,INCLUS,,MÉDIO,"description nettoyée",787
11,"AKASYA Mesa de Jantar",259.00,INCLUS,,MÉDIO,"description nettoyée",473
13,"KASMIR Cadeira",99.00,INCLUS,,MÉDIO,"description nettoyée",429
14,"AKASYA Mesa de Cabeceira",69.00,EXCLU,"prix < 80 €",OK,,
17,"KEMER Base TV",149.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
18,"KEMER Cadeira",79.00,EXCLU,"prix < 80 €",OK,,
20,"AKASYA Mesa de Centro",89.00,INCLUS,,MÉDIO,"description nettoyée",880
25,"KASMIR Mesa de Cabeceira",79.00,EXCLU,"prix < 80 €",OK,,
30,"NAMUR Cadeira",89.00,INCLUS,,MÉDIO,"description nettoyée",732
31,"GUEVARA Cadeira",79.00,EXCLU,"prix < 80 €",OK,,
32,"DEMEY MESA CENTRO ANTIBES 452878",125.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
34,"DEMEY MESA CENTRO CARVALHO ORIGIN 150505",49.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
35,"ANTIBES Vitrine",369.00,EXCLU,"hors stock",OK,,
40,"COLMED Almofada SensorGel",96.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
41,"COLMED Almofada ViscoPremium",68.00,EXCLU,"prix < 80 €",OK,,
42,"Conjunto de 4 Pés Redondos",39.00,EXCLU,"prix < 80 €",OK,,
47,"STAR CÓMODA CEREJEIRA C/ FRISO PRETO (110X75X50)",249.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
48,"STAR MESA CABECEIRA CEREJEIRA C/ FRISO PRETO (55X43X38)",129.00,EXCLU,"aucune image ; image placeholder",OK,,
50,"LUCY CÓMODA CEREJEIRA GAVETAS LC BRANCO (110X78X50)",339.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
51,"CAMISEIRO 2 GAVETAS PL 002 ARO",135.00,EXCLU,"aucune image ; image placeholder",OK,,
52,"MOLAFLEX Almofada Viscogel",37.50,EXCLU,"prix < 80 €",OK,,
61,"LINK Base TV",239.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
