id	title	description	link	image_link	additional_image_link	availability	condition	price	sale_price	brand	gtin	mpn	identifier_exists	google_product_category	product_type	item_group_id	shipping	min_handling_time	max_handling_time	min_transit_time	max_transit_time
3737	"K51151M Cadeirão Relax"	"O cadeirão relax K51151M alia conforto, tecnologia e elegância numa peça que transforma qualquer canto da casa num verdadeiro refúgio de bem-estar. Com mecanismo elétrico integrado, permite reclinar o encosto e elevar o apoio de pernas com um simples toque, sem esforço. A estrutura robusta, combinada com assento e encostos acolchoados, proporciona apoio completo da cabeça às costas.Inclui funcionalidades práticas como bolsa lateral, entradas USB e Type-C, além de carregamento wireless para telemóvel — um verdadeiro aliado para quem procura comodidade no dia a dia. Está disponível em dois tons distintos, azul e bege, adaptando-se facilmente a diferentes ambientes. Para maior durabilidade, é possível aplicar o tratamento opcional ProtecPlus diretamente em casa, garantindo proteção adicional contra desgaste e manchas."	https://dfpinteriores.com/k51151m-cadeirao-relax-3737	https://dfpinteriores.com/assets/images/cadeiroes/k51151m-cadeirao-relax-3737/foto1_2025_09_00033000000151.jpg	https://dfpinteriores.com/assets/images/cadeiroes/k51151m-cadeirao-relax-3737/foto1_2025_06_00033000000143.jpg,https://dfpinteriores.com/assets/images/cadeiroes/k51151m-cadeirao-relax-3737/foto1_2025_06_00033000000142.jpg,https://dfpinteriores.com/assets/images/cadeiroes/k51151m-cadeirao-relax-3737/foto2_2025_06_00033000000143.jpg,https://dfpinteriores.com/assets/images/cadeiroes/k51151m-cadeirao-relax-3737/foto3_2025_06_00033000000143.jpg,https://dfpinteriores.com/assets/images/cadeiroes/k51151m-cadeirao-relax-3737/foto4_2025_06_00033000000143.jpg,https://dfpinteriores.com/assets/images/cadeiroes/k51151m-cadeirao-relax-3737/foto2_2025_06_00033000000142.jpg,https://dfpinteriores.com/assets/images/cadeiroes/k51151m-cadeirao-relax-3737/foto3_2025_06_00033000000142.jpg,https://dfpinteriores.com/assets/images/cadeiroes/k51151m-cadeirao-relax-3737/foto4_2025_06_00033000000142.jpg,https://dfpinteriores.com/assets/images/cadeiroes/k51151m-cadeirao-relax-3737/foto5_2025_06_00033000000142.jpg	in_stock	new	"799.00 EUR"	"299.00 EUR"	"DFP Interiores"		00033000000151	no	635	"SOFÁS > CADEIRÕES"	3737	"PT:::0.00 EUR"	1	2	1	2
4031	"GHOST Roupeiro"	"A coleção de Roupeiros Ghost CBA combina design contemporâneo, funcionalidade e versatilidade, adaptando-se facilmente a diferentes estilos de quarto. Disponíveis em versões de 2, 3 ou 4 portas, estes modelos oferecem soluções de arrumação pensadas para otimizar o espaço com elegância.No interior, incluem varão para pendurar roupa, prateleiras espaçosas e, em alguns modelos, gavetas adicionais que permitem organizar acessórios e peças menores. Cada versão está disponível em três acabamentos — branco, branco com castanho e castanho — com a possibilidade de escolher portas com ou sem espelho, permitindo personalizar o ambiente conforme o gosto e a necessidade.Fabricados em aglomerado de madeira de elevada resistência, os Roupeiros Ghost CBA garantem durabilidade, estabilidade e um toque moderno que valoriza qualquer quarto."	https://dfpinteriores.com/ghost-roupeiro-4031	https://dfpinteriores.com/assets/images/roupeiros/ghost-roupeiro-4031/foto1_2025_10_00072000000116.jpg	https://dfpinteriores.com/assets/images/roupeiros/ghost-roupeiro-4031/foto1_00072001010966.jpg,https://dfpinteriores.com/assets/images/roupeiros/ghost-roupeiro-4031/foto1_00072001010967.jpg,https://dfpinteriores.com/assets/images/roupeiros/ghost-roupeiro-4031/foto1_00072001010960.jpg,https://dfpinteriores.com/assets/images/roupeiros/ghost-roupeiro-4031/foto1_00072001010961.jpg,https://dfpinteriores.com/assets/images/roupeiros/ghost-roupeiro-4031/foto1_00072001010957.jpg,https://dfpinteriores.com/assets/images/roupeiros/ghost-roupeiro-4031/foto1_00072001010958.jpg,https://dfpinteriores.com/assets/images/roupeiros/ghost-roupeiro-4031/foto1_00072001010969.jpg,https://dfpinteriores.com/assets/images/roupeiros/ghost-roupeiro-4031/foto1_00072001010963.jpg,https://dfpinteriores.com/assets/images/roupeiros/ghost-roupeiro-4031/foto1_00072001010965.jpg,https://dfpinteriores.com/assets/images/roupeiros/ghost-roupeiro-4031/foto1_00072001010962.jpg	in_stock	new	"299.00 EUR"	"115.00 EUR"	"DFP Interiores"		00072000000116	no	6350	"MOBILIÁRIO > QUARTOS > ROUPEIROS"	4031	"PT:::0.00 EUR"	1	2	1	2
3255	"SOL Sofá de Canto"	"O sofá de canto Sol representa uma opção sólida para salas focadas em relaxamento e entretenimento. Estofado em tecido macio e acolhedor, está disponível em três cores — castanho, bege e cinza —, oferecendo versatilidade para diferentes estilos de decoração. As almofadas generosas no assento e encosto garantem conforto prolongado, ideal para momentos de convívio.O modelo permite escolher entre chaise longue posicionada à direita ou à esquerda, adaptando-se perfeitamente à configuração do espaço. Com design contemporâneo e capacidade para acomodar várias pessoas, o Sol combina conforto, amplitude e elegância num só conjunto."	https://dfpinteriores.com/sol-sofa-de-canto-3255	https://dfpinteriores.com/assets/images/sofas-de-canto/sol-sofa-de-canto-3255/foto1_2026_05_00039001011107.jpg	https://dfpinteriores.com/assets/images/sofas-de-canto/sol-sofa-de-canto-3255/foto1_2026_05_00039001011059.jpg,https://dfpinteriores.com/assets/images/sofas-de-canto/sol-sofa-de-canto-3255/foto1_2026_05_00039001011056.jpg,https://dfpinteriores.com/assets/images/sofas-de-canto/sol-sofa-de-canto-3255/foto1_2026_05_00039001011060.jpg,https://dfpinteriores.com/assets/images/sofas-de-canto/sol-sofa-de-canto-3255/foto1_2026_05_00039001011057.jpg,https://dfpinteriores.com/assets/images/sofas-de-canto/sol-sofa-de-canto-3255/foto1_2026_05_00039001011058.jpg,https://dfpinteriores.com/assets/images/sofas-de-canto/sol-sofa-de-canto-3255/foto2_2026_05_00039001011061.jpg,https://dfpinteriores.com/assets/images/sofas-de-canto/sol-sofa-de-canto-3255/foto2_2026_05_00039001011057.jpg,https://dfpinteriores.com/assets/images/sofas-de-canto/sol-sofa-de-canto-3255/foto1_2026_05_00039001011061.jpg	in_stock	new	"1999.00 EUR"	"1199.00 EUR"	"DFP Interiores"		00039001011107	no	635	"SOFÁS > SOFÁS DE CANTO"	3255	"PT:::0.00 EUR"	1	2	1	2
2395	"FERB Sofá Chaise Longue"	"O Chaise Longue Ferb destaca-se pelo seu design contemporâneo e conforto funcional. O modelo oferece assentos extensíveis e encostos reclináveis, permitindo ajustar a profundidade e o apoio conforme a sua preferência para momentos de descanso personalizado.A chaise inclui um generoso baú de arrumação, ideal para guardar mantas, almofadas ou outros objetos, mantendo o espaço organizado e elegante. Está disponível com chaise posicionada à esquerda ou à direita, facilitando a adaptação ao layout da sua sala.Disponível nas cores castanho e cinza, o Ferb é uma solução versátil e sofisticada, que alia praticidade, conforto e estilo num só móvel."	https://dfpinteriores.com/ferb-sofa-chaise-longue-2395	https://dfpinteriores.com/assets/images/chaise-longue/ferb-sofa-chaise-longue-2395/foto1_2025_09_00087001010027.jpg	https://dfpinteriores.com/assets/images/chaise-longue/ferb-sofa-chaise-longue-2395/foto2_2026_08_00087001010027.jpg,https://dfpinteriores.com/assets/images/chaise-longue/ferb-sofa-chaise-longue-2395/foto1_00087001010002.jpg,https://dfpinteriores.com/assets/images/chaise-longue/ferb-sofa-chaise-longue-2395/foto1_00087001010003.jpg,https://dfpinteriores.com/assets/images/chaise-longue/ferb-sofa-chaise-longue-2395/foto1_2026_08_00087001010000.jpg,https://dfpinteriores.com/assets/images/chaise-longue/ferb-sofa-chaise-longue-2395/foto1_2026_08_00087001010001.jpg,https://dfpinteriores.com/assets/images/chaise-longue/ferb-sofa-chaise-longue-2395/foto2_2025_06_00087001010002.jpg,https://dfpinteriores.com/assets/images/chaise-longue/ferb-sofa-chaise-longue-2395/foto3_2025_06_00087001010002.jpg,https://dfpinteriores.com/assets/images/chaise-longue/ferb-sofa-chaise-longue-2395/foto4_2025_06_00087001010002.jpg,https://dfpinteriores.com/assets/images/chaise-longue/ferb-sofa-chaise-longue-2395/foto3_2025_06_00087001010003.jpg,https://dfpinteriores.com/assets/images/chaise-longue/ferb-sofa-chaise-longue-2395/foto2_2025_06_00087001010000.jpg	in_stock	new	"1599.00 EUR"	"1359.00 EUR"	"DFP Interiores"		00087001010027	no	635	"SOFÁS > CHAISE LONGUE"	2395	"PT:::0.00 EUR"	1	2	1	2
4727	"BENNY Sofá Chaise Longue"	"O sofá chaise longue BENNY distingue-se pela combinação harmoniosa entre funcionalidade e design moderno. Com assentos extensíveis, encostos reclináveis e um amplo baú integrado, proporciona conforto superior e uma solução prática de arrumação, ideal para o dia a dia.Disponível nas cores bege e cinza, adapta-se com facilidade a diferentes ambientes, oferecendo um toque acolhedor e sofisticado. A estrutura robusta e o estofamento de elevada qualidade asseguram durabilidade e bem-estar prolongado, tornando o Benny uma escolha perfeita para quem valoriza conforto, estilo e versatilidade num só sofá."	https://dfpinteriores.com/benny-sofa-chaise-longue-4727	https://dfpinteriores.com/assets/images/chaise-longue/benny-sofa-chaise-longue-4727/foto1_2025_11_00087000000024.jpg	https://dfpinteriores.com/assets/images/chaise-longue/benny-sofa-chaise-longue-4727/foto2_2026_08_00087000000024.jpg,https://dfpinteriores.com/assets/images/chaise-longue/benny-sofa-chaise-longue-4727/foto3_2026_08_00087000000024.jpg,https://dfpinteriores.com/assets/images/chaise-longue/benny-sofa-chaise-longue-4727/foto4_2026_08_00087000000024.jpg,https://dfpinteriores.com/assets/images/chaise-longue/benny-sofa-chaise-longue-4727/foto5_2026_08_00087000000024.jpg,https://dfpinteriores.com/assets/images/chaise-longue/benny-sofa-chaise-longue-4727/foto1_2025_09_00087001010036.jpg,https://dfpinteriores.com/assets/images/chaise-longue/benny-sofa-chaise-longue-4727/foto1_2025_09_00087001010034.jpg,https://dfpinteriores.com/assets/images/chaise-longue/benny-sofa-chaise-longue-4727/foto2_2025_09_00087001010036.jpg,https://dfpinteriores.com/assets/images/chaise-longue/benny-sofa-chaise-longue-4727/foto3_2025_09_00087001010036.jpg,https://dfpinteriores.com/assets/images/chaise-longue/benny-sofa-chaise-longue-4727/foto4_2025_09_00087001010036.jpg,https://dfpinteriores.com/assets/images/chaise-longue/benny-sofa-chaise-longue-4727/foto5_2025_09_00087001010036.jpg	in_stock	new	"1599.00 EUR"	"1339.00 EUR"	"DFP Interiores"		00087000000024	no	635	"SOFÁS > CHAISE LONGUE"	4727	"PT:::0.00 EUR"	1	2	1	2
7817	"ANDROS Sofá de Canto c/ Cama e Baú"	"O Sofá de Canto ANDROS apresenta um design contemporâneo disponível em cinza e bege, adaptando-se facilmente a diferentes estilos de sala. O modelo transforma-se em cama, possui encostos reclináveis e integra um baú de arrumação, oferecendo soluções práticas para o uso diário sem comprometer a estética.O conjunto conta ainda com um puff integrado no apoio de braços, que pode funcionar como assento adicional, reforçando a versatilidade do modelo. A combinação entre linhas limpas, conforto e funcionalidades bem resolvidas torna o ANDROS uma peça moderna, equilibrada e facilmente adaptável ao espaço."	https://dfpinteriores.com/andros-sofa-de-canto-c-cama-e-bau-7817	https://dfpinteriores.com/assets/images/sofas-de-canto/andros-sofa-de-canto-c-cama-e-bau-7817/foto1_2026_05_00087001010055.jpg	https://dfpinteriores.com/assets/images/sofas-de-canto/andros-sofa-de-canto-c-cama-e-bau-7817/foto1_2026_05_00087001010050.jpg,https://dfpinteriores.com/assets/images/sofas-de-canto/andros-sofa-de-canto-c-cama-e-bau-7817/foto1_2026_05_00087001010051.jpg,https://dfpinteriores.com/assets/images/sofas-de-canto/andros-sofa-de-canto-c-cama-e-bau-7817/foto2_2026_05_00087001010050.jpg,https://dfpinteriores.com/assets/images/sofas-de-canto/andros-sofa-de-canto-c-cama-e-bau-7817/foto2_2026_05_00087001010051.jpg,https://dfpinteriores.com/assets/images/sofas-de-canto/andros-sofa-de-canto-c-cama-e-bau-7817/foto3_2026_05_00087001010051.jpg,https://dfpinteriores.com/assets/images/sofas-de-canto/andros-sofa-de-canto-c-cama-e-bau-7817/foto4_2026_05_00087001010051.jpg	in_stock	new	"1490.00 EUR"	"989.00 EUR"	"DFP Interiores"		00087001010055	no	635	"SOFÁS > SOFÁS DE CANTO"	7817	"PT:::0.00 EUR"	1	2	1	2
4297	"KMAX 853 Sofá Relax"	"O modelo Kmax 853 destaca-se pela combinação perfeita entre conforto e funcionalidade, apresentado num design moderno e elegante. Disponível em versões de 3 lugares e cadeirão, integra um mecanismo relax manual que permite reclinar o encosto e elevar as pernas com facilidade, proporcionando um descanso personalizado e imediato. Revestido em tecido de alta qualidade e com tratamento opcional ProtecPlus para proteção contra manchas e desgaste, este sofá relax alia durabilidade a uma estética cuidada. Ideal para diversos ambientes, o Kmax 853 oferece uma solução prática e sofisticada para quem valoriza conforto e qualidade no dia a dia."	https://dfpinteriores.com/kmax-853-sofa-relax-4297	https://dfpinteriores.com/assets/images/relax/kmax-853-sofa-relax-4297/foto1_2025_09_00033000000183.jpg	https://dfpinteriores.com/assets/images/relax/kmax-853-sofa-relax-4297/foto2_2025_01_00033000000029.jpg,https://dfpinteriores.com/assets/images/relax/kmax-853-sofa-relax-4297/foto2_2025_01_00033000000028.jpg,https://dfpinteriores.com/assets/images/relax/kmax-853-sofa-relax-4297/foto2_2025_01_00033000000030.jpg,https://dfpinteriores.com/assets/images/relax/kmax-853-sofa-relax-4297/foto3_2025_01_00033000000029.jpg,https://dfpinteriores.com/assets/images/relax/kmax-853-sofa-relax-4297/foto1_2025_01_00033000000029.jpg,https://dfpinteriores.com/assets/images/relax/kmax-853-sofa-relax-4297/foto3_2025_01_00033000000028.jpg,https://dfpinteriores.com/assets/images/relax/kmax-853-sofa-relax-4297/foto1_2025_01_00033000000028.jpg,https://dfpinteriores.com/assets/images/relax/kmax-853-sofa-relax-4297/foto4_2025_06_00033000000028.jpg,https://dfpinteriores.com/assets/images/relax/kmax-853-sofa-relax-4297/foto3_2025_01_00033000000030.jpg,https://dfpinteriores.com/assets/images/relax/kmax-853-sofa-relax-4297/foto1_2025_01_00033000000030.jpg	in_stock	new	"1459.00 EUR"	"299.00 EUR"	"DFP Interiores"		00033000000183	no	635	"SOFÁS > RELAX"	4297	"PT:::0.00 EUR"	1	2	1	2
2131	"ITÁLIA Sofá Chaise Longue"	"O ITÁLIA combina funcionalidade e conforto num design moderno e acessível. A chaise é modular, permitindo posicioná-la à esquerda ou à direita, adaptando-se facilmente ao layout do seu espaço. Acompanha três puffs que se encaixam nos braços do sofá, oferecendo funcionalidade extra. Inclui um prático baú de arrumação, ideal para manter o ambiente organizado. Os encostos de cabeça são reclináveis, proporcionando maior conforto ao sentar ou deitar. Os assentos são extensíveis, permitindo ajustar a profundidade conforme a necessidade. Uma escolha versátil e confortável para quem procura um sofá prático e elegante."	https://dfpinteriores.com/italia-sofa-chaise-longue-2131	https://dfpinteriores.com/assets/images/chaise-longue/italia-sofa-chaise-longue-2131/foto1_2026_06_00021001010033.jpg	https://dfpinteriores.com/assets/images/chaise-longue/italia-sofa-chaise-longue-2131/foto1_2026_06_00021001010038.jpg,https://dfpinteriores.com/assets/images/chaise-longue/italia-sofa-chaise-longue-2131/foto1_2026_06_00021001010039.jpg,https://dfpinteriores.com/assets/images/chaise-longue/italia-sofa-chaise-longue-2131/foto1_2026_06_00021001010042.jpg,https://dfpinteriores.com/assets/images/chaise-longue/italia-sofa-chaise-longue-2131/foto1_2026_06_00021001010041.jpg,https://dfpinteriores.com/assets/images/chaise-longue/italia-sofa-chaise-longue-2131/foto2_2026_06_00021001010038.jpg,https://dfpinteriores.com/assets/images/chaise-longue/italia-sofa-chaise-longue-2131/foto2_2026_06_00021001010039.jpg,https://dfpinteriores.com/assets/images/chaise-longue/italia-sofa-chaise-longue-2131/foto2_2026_06_00021001010042.jpg,https://dfpinteriores.com/assets/images/chaise-longue/italia-sofa-chaise-longue-2131/foto2_2026_06_00021001010041.jpg	in_stock	new	"1399.00 EUR"	"990.00 EUR"	"DFP Interiores"		00021001010033	no	635	"SOFÁS > CHAISE LONGUE"	2131	"PT:::0.00 EUR"	1	2	1	2
2046	"JAVA Sofá Chaise Longue"	"O sofá chaise longue Java destaca-se pela sua excelente funcionalidade e presença marcante. Equipado com chaise integrada - posicionável à direita ou à esquerda conforme a necessidade - e assentos extensíveis que se transformam numa cama ou espaço amplo de descanso, adapta-se tanto ao uso diário como à receção de visitas. Os encostos reclináveis permitem ajustar a posição ao largo das preferências pessoais, enquanto o tecido microfibra de qualidade - disponível nas cores cinza e bege - oferece um toque suave e duradouro. Com design equilibrado e visual moderno, o Java é uma escolha ideal para quem procura conforto, utilidade e estilo em simultâneo."	https://dfpinteriores.com/java-sofa-chaise-longue-2046	https://dfpinteriores.com/assets/images/chaise-longue/java-sofa-chaise-longue-2046/foto1_2026_08_00001001015021.jpg	https://dfpinteriores.com/assets/images/chaise-longue/java-sofa-chaise-longue-2046/foto2_2026_08_00001001015021.jpg,https://dfpinteriores.com/assets/images/chaise-longue/java-sofa-chaise-longue-2046/foto3_2026_08_00001001015021.jpg,https://dfpinteriores.com/assets/images/chaise-longue/java-sofa-chaise-longue-2046/foto1_2025_10_00001001015022.jpg,https://dfpinteriores.com/assets/images/chaise-longue/java-sofa-chaise-longue-2046/foto2_2026_08_00001001015024.jpg,https://dfpinteriores.com/assets/images/chaise-longue/java-sofa-chaise-longue-2046/foto1_2025_10_00001001015023.jpg,https://dfpinteriores.com/assets/images/chaise-longue/java-sofa-chaise-longue-2046/foto1_2025_10_00001001015025.jpg,https://dfpinteriores.com/assets/images/chaise-longue/java-sofa-chaise-longue-2046/foto2_2025_10_00001001015022.jpg,https://dfpinteriores.com/assets/images/chaise-longue/java-sofa-chaise-longue-2046/foto3_2026_08_00001001015022.jpg,https://dfpinteriores.com/assets/images/chaise-longue/java-sofa-chaise-longue-2046/foto1_2025_10_00001001015024.jpg,https://dfpinteriores.com/assets/images/chaise-longue/java-sofa-chaise-longue-2046/foto3_2026_08_00001001015024.jpg	in_stock	new	"1390.00 EUR"	"1259.00 EUR"	"DFP Interiores"		00001001015021	no	635	"SOFÁS > CHAISE LONGUE"	2046	"PT:::0.00 EUR"	1	2	1	2
2129	"LUA Sofá Chaise Longue"	"O chaise longue LUA combina funcionalidade e conforto num design contemporâneo que se adapta facilmente ao dia a dia. Os assentos extensíveis e os encostos reclináveis permitem ajustar profundidade e inclinação para diferentes momentos de uso, enquanto o baú de arrumação na chaise longue e os 2 puffs acrescentam praticidade, oferecendo apoio extra ou extensão de assento sempre que necessário.Disponível com chaise longue à esquerda ou à direita, e nas cores bege, cinza e verde, integra-se com facilidade em vários estilos de decoração. Uma solução versátil e elegante que valoriza a sala, combinando conforto, organização e um visual atual."	https://dfpinteriores.com/lua-sofa-chaise-longue-2129	https://dfpinteriores.com/assets/images/chaise-longue/lua-sofa-chaise-longue-2129/foto1_2025_09_00039001011053.jpg	https://dfpinteriores.com/assets/images/chaise-longue/lua-sofa-chaise-longue-2129/foto2_2026_08_00039001011053.jpg,https://dfpinteriores.com/assets/images/chaise-longue/lua-sofa-chaise-longue-2129/foto3_2026_08_00039001011053.jpg,https://dfpinteriores.com/assets/images/chaise-longue/lua-sofa-chaise-longue-2129/foto4_2026_08_00039001011053.jpg,https://dfpinteriores.com/assets/images/chaise-longue/lua-sofa-chaise-longue-2129/foto1_2026_04_00039001011021.jpg,https://dfpinteriores.com/assets/images/chaise-longue/lua-sofa-chaise-longue-2129/foto1_2026_04_00039001011022.jpg,https://dfpinteriores.com/assets/images/chaise-longue/lua-sofa-chaise-longue-2129/foto1_2025_05_00039001011020.jpg,https://dfpinteriores.com/assets/images/chaise-longue/lua-sofa-chaise-longue-2129/foto1_2025_05_00039001011019.jpg,https://dfpinteriores.com/assets/images/chaise-longue/lua-sofa-chaise-longue-2129/foto1_2025_05_00039001011024.jpg,https://dfpinteriores.com/assets/images/chaise-longue/lua-sofa-chaise-longue-2129/foto1_2025_05_00039001011023.jpg,https://dfpinteriores.com/assets/images/chaise-longue/lua-sofa-chaise-longue-2129/foto2_2026_08_00039001011021.jpg	in_stock	new	"1290.00 EUR"	"1049.00 EUR"	"DFP Interiores"		00039001011053	no	635	"SOFÁS > CHAISE LONGUE"	2129	"PT:::0.00 EUR"	1	2	1	2
